UTCDateTime	mac_address	firmware_ver	hardware	current_temp_f	current_humidity	current_dewpoint_f	pressure	adc	mem	rssi	uptime	pm1_0_cf_1	pm2_5_cf_1	pm10_0_cf_1	pm1_0_atm	pm2_5_atm	pm10_0_atm	pm2.5_aqi_cf_1	pm2.5_aqi_atm	p_0_3_um	p_0_5_um	p_1_0_um	p_2_5_um	p_5_0_um	p_10_0_um	pm1_0_cf_1_b	pm2_5_cf_1_b	pm10_0_cf_1_b	pm1_0_atm_b	pm2_5_atm_b	pm10_0_atm_b	pm2.5_aqi_cf_1_b	pm2.5_aqi_atm_b	p_0_3_um_b	p_0_5_um_b	p_1_0_um_b	p_2_5_um_b	p_5_0_um_b	p_10_0_um_b
2022/04/11T13:15:21z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.89	nan	36656	0	32	2	3	3	2	3	3	13	13	471	121	22	2	0	0	1	2	2	1	2	2	8	8	426	87	12	0	0	0
2022/04/11T13:15:29z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.95	0	36232	0	40	1.6	4.2	4.2	1.6	4.2	4.2	17	17	484.2	120.8	17.2	3.2	0	0	1	2	2	1	2	2	8	8	452	96.33	14.67	0	0	0
2022/04/11T13:15:37z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.95	0	36232	0	48	2	3.6	3.6	2	3.6	3.6	15	15	544.8	131	14.8	4	0	0	1.33	2.67	2.67	1.33	2.67	2.67	11	11	475	112.67	18.33	0	0	0
2022/04/11T13:15:45z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.98	0	35200	0	56	2	6	8	2	6	8	25	25	675	165	26	10	2	2	2	4	4	2	4	4	17	17	529.5	138	26	0	0	0
2022/04/11T13:15:53z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	35256	0	64	2	5	7	2	5	7	21	21	657	163	24	8	2	2	4	4.8	5.8	4	4.8	5.8	20	20	660.6	174.6	27.6	1.4	1	1
2022/04/11T13:16:01z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.01	0	35256	0	72	2	4	7	2	4	7	17	17	636.75	159	25	6.5	2	2	3	5	14	3	5	14	21	21	715.2	197.8	39.8	10	8	8
2022/04/11T13:16:09z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.98	0	35256	0	80	2	6	7	2	6	7	25	25	610.8	155	30.4	8	2	2	4	5.5	16	4	5.5	16	23	23	712.5	199.5	50	12.5	9.5	9.5
2022/04/11T13:16:17z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	34944	0	88	3	4	4	3	4	4	17	17	624.6	174.2	24	2	0	0	5	6	17	5	6	17	25	25	744	204	58	13	10	10
2022/04/11T13:16:25z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0.01	35544	0	96	3	6	6	3	6	6	25	25	623	180.33	26	4	0	0	3	6	11	3	6	11	25	25	704.4	189.4	52	7	6	6
2022/04/11T13:16:33z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	35544	0	104	3	5.5	5.5	3	5.5	5.5	23	23	627	183	26	4	0	0	3	5	7.2	3	5	7.2	21	21	686.4	176.2	37.6	3.4	2.4	2.4
2022/04/11T13:16:41z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.98	0	35544	0	112	2.4	4	4	2.4	4	4	17	17	523.8	150.6	22	4	0	0	2.5	3	4	2.5	3	4	13	13	598.5	155	14	1.5	1	1
2022/04/11T13:16:49z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	35544	0	120	2.5	3.5	3.5	2.5	3.5	3.5	15	15	523.5	152	22	1	0	0	3	3	4	3	3	4	13	13	618	161	12.5	1.5	0.5	0.5
2022/04/11T13:16:57z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.99	0	35544	0	128	3	4.4	5.8	3	4.4	5.8	18	18	624	176	35.6	2	2	0	3	3	3	3	3	3	13	13	627	159.5	11	1.75	0	0
2022/04/11T13:17:05z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.95	0	35544	0	136	4	7	8	4	7	8	29	29	771	214	44	2	2	0	3	5	6	3	5	6	21	21	721.8	183	25	5.4	1	1
2022/04/11T13:17:13z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.96	0	35544	0	144	4	7	8	4	7	8	29	29	761	210.67	44	2	2	0	3	6	7	3	6	7	25	25	706.2	182.4	29.8	6	1	1
2022/04/11T13:17:21z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.94	0	35544	0	152	3	5.8	9.4	3	5.8	9.4	24	24	709.2	199.8	41.6	5.6	4	2	3	7	11	3	7	11	29	29	753	202	46	10	3	2
2022/04/11T13:17:29z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	35152	0	160	4	8	10.8	4	8	10.8	33	33	763.2	227	51.6	12	2	2	3	7	9	3	7	9	29	29	731	194.67	42	8	2.33	1.33
2022/04/11T13:17:37z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.99	0	34920	0	168	4	7.67	11.67	4	7.67	11.67	32	32	794	238	42.67	14	4	4	5	8	11	5	8	11	33	33	915	239.6	46.8	8	3	2
2022/04/11T13:17:45z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.98	0	34920	0	176	4	8	12	4	8	12	33	33	822	248	42	14	4	4	5	6.2	8.6	5	6.2	8.6	26	26	831.6	214.6	38.8	5.4	2.2	2
2022/04/11T13:17:53z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.04	0	34864	0	184	3.8	5.4	7.4	3.8	5.4	7.4	23	23	835.2	231.8	24	4.4	2	2	6	8	10	6	8	10	33	33	1021.5	271.5	59	3	1	1
2022/04/11T13:18:02z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.97	0	34920	0	193	3	5	7.6	3	5	7.6	21	21	765	215.6	28.4	3.2	2	2	5.5	7.5	7.5	5.5	7.5	7.5	31	31	910.5	246	51.5	1	0	0
2022/04/11T13:18:10z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.99	0	34920	0	201	4	5	5	4	5	5	21	21	787.2	211.8	27.6	2	0	0	5	7	7	5	7	7	29	29	861	229.67	46.67	0	0	0
2022/04/11T13:18:18z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.99	0	34920	0	209	4	5	5	4	5	5	21	21	705	200	20	2	0	0	3	8	8	3	8	8	33	33	751.5	205.5	40.75	11.5	0	0
2022/04/11T13:18:26z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.94	0	34920	0	217	4	5	5	4	5	5	21	21	756	217	22	2	0	0	3	8	8	3	8	8	33	33	705	176	40.8	12.4	0	0
2022/04/11T13:18:34z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.02	0	34920	0	225	4	5	5	4	5	5	21	21	869.4	239	20	1.2	0	0	3	7	7	3	7	7	29	29	681	178	40	7	0	0
2022/04/11T13:18:42z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	963.99	0	34920	0	233	3.5	5	7	3.5	5	7	21	21	879	230	24	6	0	0	3	6.67	6.67	3	6.67	6.67	28	28	741	199.33	40	4.33	0	0
2022/04/11T13:18:50z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964	0	35208	0	241	3	9.25	14.5	3	9.25	14.5	39	39	876	230	58.5	21	5	3.5	3	6	6	3	6	6	25	25	745.5	209.5	34	0.5	0	0
2022/04/11T13:18:58z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.05	0	34584	0	249	3.5	10	14.5	3.5	10	14.5	42	42	843	225.5	59	26	5	4	3	5	5	3	5	5	21	21	679.8	187.4	26.4	2	0	0
2022/04/11T13:19:06z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.03	0	34584	0	257	3	9.67	10.33	3	9.67	10.33	40	40	747	200.67	44	22.67	1.33	1.33	3	6	6	3	6	6	25	25	756	197.5	25.5	3	0	0
2022/04/11T13:19:14z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	40	29	964.05	0	34096	0	265	3	9	9	3	9	9	38	38	780	214	42	16	0	0	3	6	7	3	6	7	25	25	735	199	30	5	1	1
2022/04/11T13:19:22z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	29	964.03	0	34240	0	273	3	7.8	8.2	3	7.8	8.2	33	33	801	218	46.4	12	0.4	0	3	6	7	3	6	7	25	25	763.5	203	31	5	1	1
2022/04/11T13:19:30z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	29	964.04	0	34872	0	281	2	5	8.67	2	5	8.67	21	21	705	195	42	9.33	4	0	3	7	9.6	3	7	9.6	29	29	888	230.2	42.4	5.6	1.8	1.8
2022/04/11T13:19:38z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	29	964.09	0	34872	0	289	2.33	5	8	2.33	5	8	21	21	692	193	42	8	4	0	5	7	10	5	7	10	29	29	935.4	234.4	43	5	2	2
2022/04/11T13:19:46z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	29	964.03	0	34872	0	297	3	4.25	8	3	4.25	8	18	18	711	205.5	37.5	5	4	0	5	6.25	7	5	6.25	7	26	26	876.75	231	40	1.25	1	1
2022/04/11T13:19:54z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	29	964.07	0	34872	0	305	3	5	5.4	3	5	5.4	21	21	699	202.8	35.6	2.8	0.8	0	5	5.5	6	5	5.5	6	23	23	811.5	208.5	35	0.5	0.5	0.5
2022/04/11T13:20:02z	10:52:1c:41:76:79	6.01	2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A	53	41	30	964.06	0	35208	0	313	4	6	6	4	6	6	25	25	829.5	232.5	34	2	0	0	3	5	5	3	5	5	21	21	750	192	30	0	0	0
