UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2022/04/11T13:24:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,52,41,29,963.19,nan,36656,0,116,0,0.09,0.65,0,0.09,0.65,0,0,203.26,141.62,0.85,0,0,0,0,0.94,1.79,0,0.94,1.79,4,4,215.24,191.36,0.3,0,0,0
2022/04/11T13:26:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,53,41,30,963.33,0.01,36568,0,236,0,0.04,0.07,0,0.04,0.07,0,0,202.36,169.89,0.18,0,0,0,0,1,1.7,0,1,1.7,4,4,229.81,210.17,0.17,0,0,0
2022/04/11T13:28:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,53,41,30,963.47,0.01,36568,0,356,0,0.23,0.62,0,0.23,0.62,1,1,203.43,173.77,0.34,0,0,0,0,0.43,1.63,0,0.43,1.63,2,2,211.24,194.67,0.5,0,0,0
2022/04/11T13:30:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,54,41,30,963.5,0.01,36568,0,476,0,0.45,0.66,0,0.45,0.66,2,2,205.23,162.4,0.15,0,0,0,0,1.2,1.8,0,1.2,1.8,5,5,230.25,204.18,2.09,0,0,0
2022/04/11T13:32:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,54,40,30,963.49,0.01,36568,0,596,0,1.02,1.59,0,1.02,1.59,4,4,218.43,159.2,4.37,0,0,0,0.11,1.51,2.17,0.11,1.51,2.17,6,6,237.74,214.85,3.77,0,0,0
2022/04/11T13:34:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,54,40,30,963.5,0.01,36568,0,716,0,0.66,1.48,0,0.66,1.48,3,3,212.14,176.68,1,0,0,0,0,0.39,0.96,0,0.39,0.96,2,2,212.8,199.8,0,0,0,0
2022/04/11T13:36:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,55,40,31,963.51,0.01,36568,0,836,0,0.26,0.32,0,0.26,0.32,1,1,188.79,143.57,0,0,0,0,0,0.41,1.41,0,0.41,1.41,2,2,208.24,192.39,1.83,0,0,0
2022/04/11T13:38:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,55,39,31,963.54,0.01,36568,0,956,0,0.57,0.89,0,0.57,0.89,2,2,205.26,170.85,0.52,0,0,0,0,0.72,0.98,0,0.72,0.98,3,3,206.91,184.47,0.19,0,0,0
2022/04/11T13:40:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,55,39,30,963.57,0.01,36568,0,1076,0,0.89,1.44,0,0.89,1.44,4,4,217.87,186.96,0.09,0,0,0,0,0.36,0.85,0,0.36,0.85,2,2,210.02,190.45,1.11,0,0,0
2022/04/11T13:42:49z,bc:ff:4d:57:21:2d,6.01,2.0+OPENLOG+31037 MB+DS3231+BME280+PMSX003-B+PMSX003-A,56,39,31,963.61,0.01,36568,0,1196,0,0.67,1.2,0,0.67,1.2,3,3,212.76,183.62,0.53,0,0,0,0,0.43,1,0,0.43,1,2,2,208.34,192.57,0.43,0,0,0
