date_time_cdt, unit, sample_type
2022-04-11 09:02:00, K1A, Ambient
2022-04-11 09:13:00, K1A, Ambient
2022-04-11 09:19:00, K1A, Ambient
2022-04-11 09:29:00, K1A, Ambient
2022-04-11 10:23:00, K1A, Smoke
2022-04-11 10:33:00, K1A, Smoke
2022-04-11 10:45:00, K1A, Smoke
2022-04-11 10:55:00, K1A, Smoke
2022-04-11 11:10:00, K1A, Smoke
2022-04-11 11:20:00, K1A, Smoke
2022-04-11 11:33:00, K1A, Smoke
2022-04-11 11:43:00, K1A, Smoke
2022-04-11 11:56:00, K1A, Smoke
2022-04-11 12:06:00, K1A, Smoke
2022-04-11 13:32:00, K20A, Smoke
2022-04-11 13:42:00, K20A, Smoke
2022-04-11 13:53:00, K20A, Smoke
2022-04-11 14:03:00, K20A, Smoke
2022-04-11 14:11:00, K20A, Smoke
2022-04-11 14:21:00, K20A, Smoke
2022-04-11 14:30:00, K20A, Smoke
2022-04-11 14:40:00, K20A, Smoke
