UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b
2022/04/11T13:24:24z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.76,nan,36656,0,33,0,1,1,0,1,1,4,4,303,193,0,0,0,0,0,1,1,0,1,1,4,4,248,189,5,0,0,0
2022/04/11T13:24:32z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.8,0,36568,0,41,0,1,1,0,1,1,4,4,307,206.33,0,0,0,0,0,2,4,0,2,4,8,8,279.67,223.67,12,0,0,0
2022/04/11T13:24:40z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.95,0,36568,0,49,0,1,1,0,1,1,4,4,305.25,213.75,0,0,0,0,0,2.5,3.5,0,2.5,3.5,10,10,285,224.5,5,0,0,0
2022/04/11T13:24:48z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,49,45,28,963.68,0,36568,0,57,0,1,2,0,1,2,4,4,300,222,0,0,0,0,0,3,3.33,0,3,3.33,13,13,291.33,227.33,4,0,0,0
2022/04/11T13:24:56z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.8,0,36568,0,65,0,1.5,3,0,1.5,3,6,6,299.5,227.5,1,0,0,0,0,3,5,0,3,5,13,13,312.25,255.5,10,0,0,0
2022/04/11T13:25:04z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.95,0,36568,0,73,0,2,4,0,2,4,8,8,306.67,234.33,2,0,0,0,0,2.5,3.5,0,2.5,3.5,10,10,320.5,258.25,7.5,0,0,0
2022/04/11T13:25:12z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.82,0,36568,0,81,0,2,2.75,0,2,2.75,8,8,290,229.75,0,0,0,0,0,1,1,0,1,1,4,4,310,240,2,0,0,0
2022/04/11T13:25:20z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.77,0,36568,0,89,0,3,3,0,3,3,13,13,278.75,226.25,0,0,0,0,0,1,1,0,1,1,4,4,301.67,231,2,0,0,0
2022/04/11T13:25:28z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.81,0,36568,0,97,0,2,2,0,2,2,8,8,285,219,0,0,0,0,0,1.25,1.25,0,1.25,1.25,5,5,295.75,227,0,0,0,0
2022/04/11T13:25:36z,bc:ff:4d:57:53:b0,6.01,2.0+OPENLOG+15476 MB+DS3231+BME280+PMSX003-B+PMSX003-A,51,45,30,964.82,0,36568,0,105,0,2,2,0,2,2,8,8,270,208,0,0,0,0,0,3,3,0,3,3,13,13,305.5,242.75,16,0,0,0
